BAI Capital × 分子分母 × SPARK LAB,7月17日,19:00-21:00,上海·梧桐区（详细地址待确认）,私信原帖发布人或扫描原帖海报二维码报名,未标明,分子/分母 WAIC 之夜｜AI 硬件闭门局,分子/分母 WAIC 之夜｜AI 硬件闭门局是一场AI 硬件闭门碰头，聚焦机器人与穿戴式 AI 硬件的一线从业者，适合讨论产品、供应链、数据与融资。活动规模为限 30 人。参与方式采用小型闭门；正文未给可复制报名链接。,机器人、穿戴式 AI 硬件从业者；相关 founder、研究者与投资人,未标明,AI 硬件闭门碰头,小红书,https://www.xiaohongshu.com/explore/6a56dee4000000001503ddc5,未标明,07-15-00:00,未标明,上海市浦东世博片区,上海市浦东新区浦东镇世博片区
Founder Park（极客公园）× 百道数据 × 科锐国际,7月17日,19:00–21:10,上海世博中心附近（待通知）,扫描微信公众号原文海报二维码报名,免费,Builders' Night Talk｜企业 AI Agent 如何构建企业的新操作系统？,五位企业 AI Agent 一线实践者将从产品、技术与组织效率等角度，讨论 Agent 如何真正进入企业流程并成为新的操作系统。现场包含主题分享、圆桌讨论和自由交流，适合希望了解企业 AI 落地关键问题的人参与。,企业 AI Agent 创业者、技术负责人及关注企业 AI 落地的人,"名字：丁鑫栋
背景：特赞 CTO；
名字：刘之
背景：科锐国际 CTO；
名字：任喜亮
背景：得物效率工程负责人；
名字：吴光宇
背景：百道数据 CEO；
名字：吴显昆
背景：Kuse.ai CEO；",主题分享 + 圆桌对话 + 自由交流,微信公众号,https://mp.weixin.qq.com/s/RD7TrxfvVJ4UHDdihGx4qw,Founder Park（极客公园）,07-01-16:35,07-16,上海市浦东新区世博大道1500号,上海市浦东新区世博大道1500号
Frank的会客厅,7月17日,19:00,世博滨江酒店,评论/私信原帖发布人报名,未标明,具身智能与世界模型行业聚会,面向具身智能、世界模型、物理 AI 和机器人方向的行业聚会，聚集创始人、研发人才、高校学者和投资人，适合在 WAIC 期间快速认识具身智能圈层。,具身智能创始人、研发人才、高校学者、投资人,未标明,未标明,小红书,https://www.xiaohongshu.com/explore/6a54f4330000000006034d0c,Frank的会客厅,07-13-22:20,未标明,上海市浦东新区世博大道沿线,上海市浦东新区世博大道
WAIC UP MORE × 钛媒体,7月17日,18:30–21:30,上海张江会场 5F 光空间,打开 Hi！WAIC APP，在“活动”Tab 搜索“WAIC UP! AI 三极夜话”购票,¥228,WAIC UP! AI 三极夜话 —— 全球 AI 创新者夜间思享会,WAIC UP! AI 三极夜话 —— 全球 AI 创新者夜间思享会 是由WAIC UP MORE × 钛媒体发起的WAIC 2026 期间的圆桌。WAIC UP MORE × 钛媒体 · 主题演讲 + 圆桌对谈 + 自由交流。活动安排为7月17日，18:30–21:30，上海张江会场 5F 光空间,未标明,未标明,圆桌,微信公众号,https://mp.weixin.qq.com/s/ywjKCOZ6B7HogJBJjVCPLA,WAIC UP MORE × 钛媒体,07-08-20:57,未标明,上海市浦东新区张江高科技园区相关场地5F光空间,上海市浦东新区张江镇场地
XR Vision 工作室,7月17日,19:00-23:00,上海某酒吧，通过审核后，专门一对一通知,见原帖报名,未标明,XR Vision AI After Party｜WAIC 专场,> WAIC 日程结束后，继续聊 XR、AI 与智能眼镜 XR Vision 工作室在 WAIC 开幕首日晚举办 After Party，准备酒水、饮料与餐点，并邀请部分行业人士分享。现场计划提供 10-20 款 AI 眼镜体验，包括 Meta Ray-Ban Display、Even G2、形意智能 AR99、雷鸟 V4 AI 眼镜、雷鸟 GT Max 与 Moonix 等产品。 活动暂限约 50 人，具体酒吧地址在报名审核通过后由主办方一对一通知。,未标明,未标明,线下交流 / Side Event,WaytoAGI,https://waic.waytoagi.com/events/e_fa3cb8b7b7,XR Vision 工作室,07-10-00:49,未标明,上海市浦东世博片区,上海市浦东新区浦东镇世博片区
amber.ac × BUIDL_QUESTS 2026,7月17日,19:00–21:00,上海光影艺术馆（详细地址审核通过后通知）,https://luma.com/e4f2rvqh,免费,VC × Founders Private Night,一场限定30人的VC与创业者私人酒会，仅面向BUIDL_QUESTS 2026参赛团队、合作VC、生态伙伴和赞助方。活动强调直接、深入的交流，每个入选项目优先一位创始人参加；报名需审核，提交申请不等于最终确认。,BUIDL_QUESTS 2026参赛创业项目创始人、合作VC、生态伙伴与赞助方,"名字：未公开
背景：管理规模超US$10B投资机构的投资负责人；
名字：未公开
背景：US$2B级基金高级投资人；
名字：未公开
背景：开源项目累计20,000+ GitHub Stars的Builder；
名字：未公开
背景：OpenArena Season 1获奖者；",30人邀请审核制闭门酒会,Luma / OpenArena,https://luma.com/e4f2rvqh | https://openarena.to/en/events/buidl-quests-2026,amber.ac × BUIDL_QUESTS 2026,未标明,未标明,上海市浦东世博片区,上海市浦东新区浦东镇世博片区
赤道象限,7月17日,18:30–21:30,上海徐汇（报名后可查看地址）,见微信公众号原文报名,免费,AI 创业「秘」聊局 · 追光会客厅第六期,AI 创业「秘」聊局 · 追光会客厅第六期 是由赤道象限发起的WAIC 2026 期间的线下交流活动。赤道象限 · 行业洞察 + 趋势分享 + 吐槽大会。活动安排为7月17日，18:30–21:30，上海徐汇（报名后可查看地址）,未标明,未标明,未标明,微信公众号,https://mp.weixin.qq.com/s/Cc6I4tsmjteyKjmqXbmHaQ,赤道象限,07-09-00:00,未标明,上海市徐汇区,上海市徐汇区
创新壬 × 香港科技大学上海中心,7月17日,18:30 开始,香港科技大学上海中心（西岸基地），云锦路 701 号西岸人工智塔东塔楼 37 层,https://zcnbim6bjz0m.feishu.cn/share/base/form/shrcnbTgKjEjFIC8k1L7QUiCfgh,未标明,WAIC Afterparty：出海增长到底怎么搞？暨创新壬 × 港科大上海中心 Networking,创新壬与香港科技大学上海中心在 WAIC 会场附近组织一场出海增长主题分享和自由 Networking。嘉宾将结合全球 GTM 与增长实战拆解企业出海问题，之后留出充分时间让参与者交换经验和合作线索。,关注全球 GTM、出海增长与创业实践的人,"名字：Sandra Shen
背景：Low Hanging Lab 创始人兼 CEO，0-1 全球 GTM 与增长操盘手；",主题分享 + Afterparty + Networking,WaytoAGI / 微信公众号 / 小红书,https://waic.waytoagi.com/events/e_4dbc4dfc84 | https://mp.weixin.qq.com/s/8YijnJ09OfATvQ_7TOTbwQ,创新壬 × 香港科技大学上海中心,07-15-15:09,07-17 15:59,上海市徐汇区云锦路701号西岸人工智能大厦东塔楼37层,上海市徐汇区云锦路701号西岸
创业磨坊 Startup Grind,7月17日,18:30–21:00,上海（报名后通知）,见微信公众号原文报名,免费,打烊后的算账局 · AI Founders Assemble,打烊后的算账局 · AI Founders Assemble 是由创业磨坊 Startup Grind发起的WAIC 2026 期间的闭门交流。创业磨坊 Startup Grind · 闭门社交 · 一起算一笔生死账。活动安排为7月17日，18:30–21:00，上海（报名后通知）,,,闭门交流,微信公众号,https://mp.weixin.qq.com/s/vJVwyleU5ZskG4g3PN810A,创业磨坊 Startup Grind,未标明,未标明,上海市浦东世博片区,上海市浦东新区浦东镇世博片区
创业小酒馆 × PP飞湃创新 × Startup Grind Shanghai,7月17日,18:30–22:00,上海静安·苏州河畔（具体地点报名通过后通知）,待人工,¥168,创业小酒馆｜打烊后的算账局（WAIC Special Edition）,一场属于AI创业者的地下互助会：围绕项目能否Default Alive展开真实算账，以酒馆悬赏令、60秒赏金猎人开放麦、GTM实战分享、Vibe-Killing项目挑战和自由社交，帮助参与者找客户、资源、合作与下一步行动。,沪上创投伙伴、AI Builders、OPC，以及AI连续创业者、出海独立开发者、产品/增长/算法与工程从业者、早期投资人,"名字：Jose Florido
背景：Magnific Chief Market Development Officer；前Google、Meta、Spotify产品与设计负责人；
名字：吴俊东
背景：Ouraca 联合创始人；哈佛肯尼迪学院硕士；前好未来全球教育科技投资人、Think Academy核心创始团队；
名字：何介然 Klein
背景：Mindfold Founder；Trellis 创作者（11K+ Stars）；
名字：Emma
背景：EverSail Script 创始人；
名字：秦贺君 AOKO
背景：上海无限语研科技有限公司 CTO；",创业互助会 + 快闪演讲 + 开放麦 + 社交酒馆,微信公众号 / 用户提供小程序截图,https://mp.weixin.qq.com/s/eMknFWTP4BoV9DPmVOWRJw | https://mp.weixin.qq.com/s/vJVwyleU5ZskG4g3PN810A,PP飞湃创新 / 创业磨坊 Startup Grind,07-15-09:07,07-15（早鸟票，时刻未标明）,上海市静安区苏州河畔,上海市静安区
甲子Builders × 达晨财智,7月17日,18:30-23:00,上海·西岸,https://www.feishu.cn/share/base/form/shrcnU9kyKyKM0aAMREva9dS5Se,未标明,WAIC“握手局”：带一个朋友来，不限物种,甲子Builders 与达晨财智把“带一个朋友来”设计成现场连接机制，让创业者、投资人和产业伙伴以更自然的方式认识彼此。活动从傍晚持续到深夜，重点不是听长篇演讲，而是创造更有效的面对面交流。,未标明,未标明,线下交流/Side Event,微信公众号 / WaytoAGI,https://mp.weixin.qq.com/s/4_4z3dRxt4jUVr7OgqFkAw,甲子Builders × 达晨财智,07-14-12:21,未标明,上海市徐汇区龙腾大道西岸,上海市徐汇区龙腾大道西岸
锦秋基金,7月17日,18:30–21:30,上海（报名后通知）,见微信公众号原文报名,免费,Founders Back Founders · AI 创始人的夏夜聚会,Founders Back Founders · AI 创始人的夏夜聚会 是由锦秋基金发起的WAIC 2026 期间的线下交流活动。锦秋基金 · 创始人社交聚会。活动安排为7月17日，18:30–21:30，上海（报名后通知）,未标明,未标明,未标明,微信公众号,https://mp.weixin.qq.com/s/L3IZUR6fW9FEkkAkrwr_6A,锦秋基金,07-13-17:06,未标明,上海市浦东世博片区,上海市浦东新区浦东镇世博片区
量子位,7月17日,19:30–21:30,上海（报名后通知）,https://www.huodongxing.com/event/6868851578600,免费,AI 聪明够了，行动呢？WAIC AI MIXER,AI 聪明够了，行动呢？WAIC AI MIXER 是由量子位发起的WAIC 2026 期间的沙龙 + 论坛。量子位 · 论坛 + 社交（量子位 · AI 沙龙）。活动安排为7月17日，19:30–21:30，上海（报名后通知）,未标明,未标明,沙龙 + 论坛,活动行,https://www.huodongxing.com/event/6868851578600,量子位,未标明,未标明,上海市浦东世博片区,上海市浦东新区浦东镇世博片区
瞧见Club | 一人公司,7月17日,18:00-21:00,世博源餐厅｜毗邻WAIC主会场,私信 @瞧见Club | 一人公司 报名/咨询场次详情,未标明,OPC之夜开放AI共创饭局,围绕单人公司、AI 工具落地和独立创业的三晚饭局，主打小范围、接地气的深度交流。适合想在 WAIC 展会之外链接同频伙伴、咨询场次和资源的人参与。,OPC 单人创业者、AI 独立从业者、AI 工具服务商、技术落地团队、产业投资人、AI 生态伙伴,未标明,闭门交流 + 饭局 + 论坛,小红书,https://www.xiaohongshu.com/explore/6a530d060000000022019ac1,瞧见Club | 一人公司,07-12-11:41,未标明,上海市浦东新区世博大道1368号,上海市浦东新区世博大道1368号
清华大学学生创客空间协会 × 星工聚将,7月17日,18:00–22:00,上海·世博园区域（具体地点报名后通知）,扫描原帖海报二维码报名,免费,WAIC 的清华朋友圈之夜 · 当图灵奖遇见独角兽,图灵奖得主、硅谷创投嘉宾和清华创业项目负责人将在同一晚交流 AI 与具身智能前沿。活动包含大咖圆桌、清华创业者快闪和开放麦，既能听到前沿判断，也为创业青年提供面对面连接机会。,未标明,"名字：Richard Sutton
背景：图灵奖得主；
名字：陈牧
背景：星工聚将 CTO；",圆桌 + 创业者快闪 + 开放麦,微信公众号 / 小红书,https://mp.weixin.qq.com/s/hnelaNeJYuW9URKVunGnrg | https://www.xiaohongshu.com/explore/6a54c2e80000000021023af3,清华大学学生创客空间协会 × 星工聚将 / 星工聚将,07-13-18:50,未标明,上海市浦东新区世博大道1750号上海世博园,上海市浦东新区世博大道1750号上海世博园
星连资本,7月17日,19:30–23:00,上海（报名后通知）,见微信公众号原文报名,免费,Stellaris Night · 星河之夜,Stellaris Night · 星河之夜 是由星连资本发起的WAIC 2026 期间的酒会 + 闭门交流。星连资本 · 社交酒会（闭门邀请与报名筛选制）。活动安排为7月17日，19:30–23:00，上海（报名后通知）,未标明,未标明,酒会 + 闭门交流,微信公众号,https://mp.weixin.qq.com/s/axQ-lnMptCWA0PZwpJHhYA,星连资本,07-09-16:28,未标明,上海市浦东世博片区,上海市浦东新区浦东镇世博片区
源码资本 × TTC × 亚马逊云科技 × 硅星人 × Motphys,7月17日,19:30–22:00,上海市徐汇区华泾镇老沪闵路 1226 号 AGI Bar,扫描微信公众号原文海报二维码报名,免费,今晚的 API｜WAIC After Hours,一场以有效连接为核心的 WAIC 会后交流。现场通过 Connection Wall 展示参与者正在寻找和可以提供的资源，并由撮合官帮助创业者、技术产品从业者、服务伙伴和投资人更快找到值得深入聊的人。,AI 创业者、技术与产品从业者、服务伙伴、投资人及 AI 爱好者,未标明,After Hours + 资源撮合 + 自由交流,微信公众号 / WaytoAGI,https://mp.weixin.qq.com/s/uQO7g16wSogrv1V_P69Gqg | https://waic.waytoagi.com/events/e_f0a282c9ff,源码资本,07-09-09:31,未标明,上海市徐汇区老沪闵路1226号,上海市徐汇区老沪闵路1226弄
AI Hacker House,7月18日,20:00-20:30,AI Hacker House @上海漕河泾开发区,https://luma.com/srt55n8w,未标明,WAIC After Party：AI 夏夜增长趴,WAIC After Party：AI 夏夜增长趴 是由AI Hacker House发起的WAIC 2026 期间的酒会 + 派对 + 开放麦。每年 WAIC，白天都属于演讲、展台、demo 和趋势，在推杯换盏间交换名片，只在通讯录中留下一段字符。但到了晚上，我们想给所有真正想做点事情的人，提供一块开放、松弛、无所束缚的场地，所有白天无处安放的话题，可以在这里诉说。活动安排为7月18日，20:00-20:30，AI Hacker House @上海漕河泾开发区。官方面向人群包括Founder、CMO、COO、增长工程师、Marketer 的 After Party,Founder、CMO、COO、增长工程师、Marketer 的 After Party,未标明,酒会 + 派对 + 开放麦,小红书,https://www.xiaohongshu.com/explore/6a521b540000000020039329 | https://www.xiaohongshu.com/explore/6a524cd5000000000603568d | https://www.xiaohongshu.com/explore/6a532e190000000021023900 | https://www.xiaohongshu.com/explore/6a533549000000001003e5bf,AI Hacker House | 小小桐山粒粒子 | Koji杨远骋 | TTC才多对,07-11-18:30,未标明,上海市徐汇区漕河泾开发区,上海市徐汇区漕河泾开发区
Babson College CSSA（巴布森商学院中国学生会）,7月18日,18:30,上海市黄浦区龙华东路810号 黄浦绿地缤纷城 F2 层,扫码加入 WAIC GenZ After Event 群（原二维码标注有效至 7月13日，需向主办方获取新码）,¥80餐费,WAIC GenZ After Event｜中美创业者交流,Babson College CSSA 正在筹备 WAIC After Event，希望连接中美创业者、投资人与学者，围绕创业实践、跨境资源和合作机会展开交流。当前公开内容主要是活动群信息，具体日期、时间和地点仍需主办方确认。,创业者、投资人、商业从业者及海内外学者,未标明,社群 / After Event / 聚餐,小红书,https://www.xiaohongshu.com/explore/6a4b8801000000000e038400,Babson CSSA,07-06-18:48,未标明,上海市黄浦区龙华东路810号黄浦绿地缤纷城F2层,上海市黄浦区龙华东路810号黄浦绿地缤纷城
Berkeley × BETA × Implic Capital,7月18日,18:00–20:00,上海·前滩,https://www.feishu.cn/share/base/form/shrcnQu53bhaT8PChXVYoYKFHrc?share_link_type=qrcode&ccm_open_type=form_qrcode,未标明,Berkeley × WAIC 2026｜Beyond Coding,Berkeley、BETA 与 Implic Capital 联合发起的小型闭门 Mixer，围绕 AI 创业和前沿技术展开交流。活动控制规模，并把主题讨论与自由连接结合起来，方便参与者进行更深入的对话。,AI 创业者与博士研究者,未标明,闭门Mixer+Talk,小红书,https://www.xiaohongshu.com/explore/6a55b1a00000000011018461 | https://www.xiaohongshu.com/explore/6a56452b000000002103e04a,Berkeley × BETA × Implic Capital,07-14-11:48,未标明,上海市浦东新区前滩,上海市浦东新区前滩
Creekstone Ventures × 火山引擎 V-START,7月18日,19:00-22:30,Creekstone Founders Party,https://www.feishu.cn/share/base/form/shrcnIMmFzIdpcsoPJBwCHFYJXb,未标明,PROBLEM MARKET × STORYTELLING HACKATHON｜真实问题市场 × AI 想象力黑客松,这场限额 60 人的黑客松把真实业务问题与 AI 叙事能力放在一起：参与者先进入 Problem Market 识别值得解决的问题，再以团队协作完成方案和故事表达。它适合希望快速验证产品判断、技术路径与市场沟通方式的 Builder。,研究者、Agent 工程师、AI 产品经理、创业者、Builder、GTM 从业者与投资人,未标明,真实问题工作坊 + AI 叙事黑客松,微信公众号 / WaytoAGI,https://mp.weixin.qq.com/s/0MV5scPtVnZByJvP9tVmeA,Creekstone Ventures × 火山引擎 V-START,07-14-21:33,未标明,上海市浦东新区世博大道1750号,上海市浦东新区世博大道1750号
Datawhale × AGI Villa × 硅星人,7月18日,WAIC会期夜间,上海徐汇·模速空间,关注公众号报名,未标明,AI 创造者之夜·What Are You Building...,不讲趋势只问项目,AI原生开发者...,未标明,Afterparty,公开网页,https://590de4e9...,Datawhale...,未标明,未标明,上海市徐汇区模速空间,上海市徐汇区
EPIC Connector × Airwallex 空中云汇 × 中信书店,7月18日,未标明,上海·前滩,联系主办方,未标明,WAIC 2026 Private Dinner｜100 AI Founders 闭门交流晚宴,EPIC Connector 在 WAIC 期间发起的 30 人闭门晚宴，为正在全球 AI 浪潮中前行的创业者提供小规模、高密度的深度交流空间。活动重点连接已经完成融资、进入产品与市场阶段的 AI To C 创业者和 Global Builder，参与者还有机会加入“100 AI Founders”长期访谈计划,已经完成融资、进入产品与市场阶段的 AI To C 创业者及 Global Builder,未标明,30 人邀请制闭门晚宴,小红书,https://www.xiaohongshu.com/explore/6a545583000000000f0338ae,弗朗德萨默,07-13-18:00,未标明,上海市浦东新区前滩国际商务区,上海市浦东新区前滩国际商务区
Jing（泽雉）,7月18日,晚间（地点当晚有爵士乐）,Cotton's Shanghai（具体门店待作者确认）,私信原帖发布人报名,未标明,泽雉小酒馆第三期｜WAIC 小聚,泽雉小酒馆第三期｜WAIC 小聚是一场小酒馆主题深聊，围绕三个明确主题做长讨论，适合研究、产品与投资视角交叉交流。参与方式采用正文邀请加入；无标准报名链接。,关注 Physical AI、AI 医疗、自进化系统和后 AI 时代的人,未标明,小酒馆主题深聊,小红书,https://www.xiaohongshu.com/explore/6a525e1300000000170082ad,Jing（泽雉）,07-11-00:00,未标明,上海市浦东世博片区,上海市浦东新区浦东镇世博片区
LynX Global,7月18日,18:30–21:30,上海徐汇（报名后可查看地址）,https://luma.com/fk461rf6,免费,AI 盛夏夜：2026 创新者微醺 Mixer,AI 盛夏夜：2026 创新者微醺 Mixer 是由LynX Global发起的WAIC 2026 期间的线下交流活动。LynX Global · 主题演讲 + 自由交流。活动安排为7月18日，18:30–21:30，上海徐汇（报名后可查看地址）,未标明,未标明,未标明,Luma,https://luma.com/fk461rf6,LynX Global,未标明,未标明,上海市徐汇区,上海市徐汇区
N.E.I. Community × MiM Shanghai,7月18日,20:30-24:00,上海新天地区域,私信原帖发布人咨询/申请；邀请制,未标明,WAIC Afterparty「N.E.I」｜Under 95 Investors Night,N.E.I. Community 与 MiM Shanghai 联合发起的 WAIC Afterparty，专为一级市场年轻投资人打造一晚上的深度社交。活动聚焦投资判断、行业连接与价值共创，适合希望在大会之外认识同龄投资同行的人申请参与,一级市场年轻投资人（海报标注 Under 95 Investors）,未标明,邀请制投资人 Afterparty,小红书,https://www.xiaohongshu.com/explore/6a5639a5000000001101f435,Lawsunlight,07-14-21:29,未标明,上海市黄浦区太仓路181弄,上海市黄浦区太仓路181弄
NewBorn Ventures × Delta X,7月18日,19:00–22:00,上海（报名后通知）,见微信公众号原文报名,免费,AI Native Service Night @WAIC · 上海,AI Native Service Night @WAIC · 上海 是由NewBorn Ventures × Delta X发起的WAIC 2026 期间的论坛。NewBorn Ventures × Delta X · 论坛 + 社交。活动安排为7月18日，19:00–22:00，上海（报名后通知）,未标明,未标明,论坛,微信公众号,https://mp.weixin.qq.com/s/zxyi34pv58-mvLDB-IJbGQ,NewBorn Ventures × Delta X,07-13-19:02,未标明,上海市浦东新区世博片区,上海市浦东新区世博片区
